1747182687007447,1641480,500,1,0,0,
1747182687077163,1711152,500,2,0,0,
1747182687146570,1780832,500,3,0,0,
1747182687216361,1850512,500,4,0,0,
1747182687290004,1920192,500,5,0,0,
1747182687359470,1989872,500,6,0,0,
1747182687429486,2059552,500,7,0,0,
1747182687499000,2129232,500,8,0,0,
1747182687568498,2198912,500,9,0,0,
1747182687638217,2268592,500,10,0,0,
1747182687711987,2339312,500,11,0,0,
1747182687781533,2410032,500,12,0,0,
1747182687855179,2480752,500,13,0,0,
1747182687925024,2551472,500,14,0,0,
1747182687994834,2622192,500,15,0,0,
1747182688068061,2692912,500,16,0,0,
1747182688137818,2763632,500,17,0,0,
1747182688211449,2834352,500,18,0,0,
1747182688281452,2905072,500,19,0,0,
1747182688350782,2975792,500,20,0,0,
1747182688424816,3046512,500,21,0,0,
1747182688494359,3117232,500,22,0,0,
1747182688567961,3187952,500,23,0,0,
1747182688637223,3258672,500,24,0,0,
1747182688707362,3329392,500,25,0,0,
1747182688780913,3400112,500,26,0,0,
1747182688850646,3470832,500,27,0,0,
1747182688924254,3541552,500,28,0,0,
1747182688994035,3612272,500,29,0,0,
1747182689063436,3682992,500,30,0,0,
1747182689136967,3753712,500,31,0,0,
1747182689206917,3824432,500,32,0,0,
1747182689276711,3895152,500,33,0,0,
1747182689350282,3965872,500,34,0,0,
1747182689419844,4036592,500,35,0,0,
1747182689493700,4107312,500,36,0,0,
1747182689563355,4178032,500,37,0,0,
1747182689632944,4248752,500,38,0,0,
1747182689706634,4319472,500,39,0,0,
1747182689776456,4390192,500,40,0,0,
1747182689849855,4460912,500,41,0,0,
1747182689919655,4531632,500,42,0,0,
1747182689989523,4602352,500,43,0,0,
1747182690063084,4673072,500,44,0,0,
1747182690132559,4743792,500,45,0,0,
1747182690206416,4814512,500,46,0,0,
1747182690276028,4885232,500,47,0,0,
1747182690345772,4955952,500,48,0,0,
1747182690419209,5026672,500,49,0,0,
1747182690488910,5097392,500,50,0,0,
1747182690562575,5168112,500,51,0,0,
1747182690632511,5238832,500,52,0,0,
1747182690702200,5309552,500,53,0,0,
1747182690775604,5380272,500,54,0,0,
1747182690845464,5450992,500,55,0,0,
1747182690919109,5521712,500,56,0,0,
1747182690988852,5592432,500,57,0,0,
1747182691058590,5663152,500,58,0,0,
1747182691131949,5733872,500,59,0,0,
1747182691201660,5804592,500,60,0,0,
1747182691275313,5875312,500,61,0,0,
1747182691345006,5946032,500,62,0,0,
1747182691414818,6016752,500,63,0,0,
1747182691488462,6087472,500,64,0,0,
1747182691558147,6158192,500,65,0,0,
1747182691627640,6228912,500,66,0,0,
